7dd  = WiiLink WFC
07e8  = Játssz a WiiLink WFC-n keresztül!
7e9  = Játssz egy baráttal a WiiLink WFC-n keresztül!
7f1  = WiiLink WFC (1J)
7f2  = WiiLink WFC (2J)
faa  = Csatlakozás a WiiLink WFC-hez...
fab  = Biztosan megszakítod a kapcsolatot\na WiiLink WFC-vel?
11fa  = Lehetséges, hogy a WiiLink Wi-Fi Connection\njelenleg túlterhelt vagy nem elérhető.\nPróbáld újra később! További információért\nkeresd fel a wfc.wiilink24.com-honlapot!\n\nHibakód: \z{a02,1000000005}
14b4  = A WiiLink WFC-n vagyok!
14b5  = Nem vagyok a WiiLink WFC-n...
1ce9  = Ha a WiiLink WFC-n keresztül játszol\nMario Kart Wii-t, az alábbi adatok automa-\ntikusan megosztásra kerülnek a WiiLinkkel:\n\n・a Miid kinézete és beceneve;\n・a rekordjaid és szellemadataid.\n\nEzek az adatok a többi WiiLink WFC\n-játékossal is meg lesznek osztva.
1cea  = Engedélyezed az adataid megosztását\na WiiLinkkel?
1ced  = Engedélyezted az adataid megosztását\na WiiLinkkel.
1cee  = Biztos vagy benne? Ezzel a beállítással\nnem leszel képes a WiiLink WFC-n keresztül\nMario Kart Wiit játszani.
1cef  = Nem engedélyezted az\nadataid megosztását a WiiLinkkel.
17e8  = Csatlakozol a WiiLink WFC-hez?
1c53  = A Mario Kart Wii az alábbi helyeken\nmutatja az országzászlód és a régiód:\n\n・a földgömbön megjelenített hely;\n・szellemadatok részeként.\n\nHa engedélyezed, ezt az információt\nmegosztjuk a többi\nWiiLink WFC-játékossal.
1c54  = Szeretnéd láthatóvá tenni az országzászlód\nés a régiód a WiiLink WFC-n?
1c57  = Engedélyezted az országzászlód és régiód\nmegjelenítését a WiiLink WFC-n.
1c58  = Nem engedélyezted az országzászlód és régiód\nmegjelenítését a WiiLink WFC-n.
818  = Most meg fogod szakítani a kapcsolatot\na WiiLink WFC-vel és visszatérsz\na főmenübe.
3fc  = WiiLink WFC-menü
841  = \z{602,0} és \z{802,120000}\nközösen fognak csatlakozni a\nWiiLink WFC-hez. Rendben?
816  = A WiiLink Wi-Fi Connectionhöz való\ncsatlakozás meghiúsult, mert nincs mentés.\n\nA Wii belső tárhelyét a Wii-beállításokon\nbelül, az Adatkezelőben kezelheted.
fa8  = A barátlistád üres.\n\nA WiiLink WFC-n barátokkal való játékhoz\nelőször regisztrálnod kell őket.\040
fb0  = A Miid neve nem megfelelő.\nA WiiLink Wi-Fi Connectionhöz\nvaló hozzáféréshez\nmeg kell változtatnod.
1397  = Vedd fel a versenyt mások\nszellemadataival több verseny\nsorán a WiiLink WFC-n!
1399  = Vedd fel a versenyt mások\nszellemadataival több verseny\nsorán a WiiLink WFC-n!\n\nA jelenlegi rekordod:\n\z{a02,1000000000} \z{c04,13a213a3} - \z{a02,1000010000} \z{c04,113a413a5}
1a3c  = Jelenleg nem rendelkezel barátkóddal.\n\nA barátkód egy 12-jegyű szám, amit a\nrendszer automatikusan hozzád rendel,\namikor először csatlakozol a WiiLink WFC-hez.\n\nTovábbi információért olvasd el a\nMario Kart Wii kézikönyvét!
1d4d  = Versenyek és csaták során, adatok\nmegjelenítése közben és egyéb\nhelyeken a WiiLinken mások által\nlétrehozott Miiket láthatsz.\n\nHa szeretnéd, akkor ezeket a Miiket\nelrejtheted és kicserélheted a Nintendo\náltal létrehozottakra.
1fb0  = 1000 online versenyt nyertél meg!
1fbf  = 5000 online versenyt nyertél meg!
1fc1  = 250 online versenyt nyertél meg!
1fce  = 50 online versenyt nyertél meg!
1fe3  = 3000 online versenyt nyertél meg!
200b  = WiiLink WFC-rekordok
201c  = WiiLink WFC-barátrekordok
26af  = Egy WiiLink WFC-verseny közben nem válthatsz vezérlőt.\nVálts vissza az eredeti vezérlőre!
212c  = %ls\nbarátfelkérést küldött\na számodra.\n\nMario Kart Wii\nbarátkód: %04d-%04d-%04d\n\nHa regisztráljátok egymás barátkódját,\nakkor képesek lesztek együtt\nversenyezni a WiiLink Wi-Fi\nConnectionön keresztül.\nHa rendelkezel a Mario Kart Wiivel\nés hozzáadtad a Mario Kart csatornát\na Wii-menüdhöz, akkor a jobboldali\nINDÍTÁS gomb megnyomásával\nelfogadhatod a felkérést.\n\nJó szórakozást kívánunk!


2800  = Időmérő (150cc)
2801  = Időmérő (200cc)
2803  = Szellemek mentése letiltva.
2804  = Szellemek mentése letiltva. Dolphin-csalások engedélyezve.
2810  = Pályák rendezése: Alapértelmezett
2811  = Pályák rendezése: Betűrendben
2A00  = Beállítások
